ngiemboon,en,,,,
"Pi g??n ngie nyì? l??n ?d?g? j?’ gie mé nu?e pw??’ wó, ?k?a nò, mbà e ts?? ntsa? tè gw?? w??. Tá ?ké ?d?g pw??’ g?ie ée ndùm wó ?k?a nò, mbà à kw?’ ?k?a nén??.","And, Whosoever shall swear by the altar, it is nothing; but whosoever sweareth by the gift that is upon it, he is guilty. # https://www.bible.com/fr/bible/1/MAT.23.KJV #18",,,,
"Pàf?? menÿ??g, á g?a ná j?’ gie mé nu?e pw??’ wó, p?? pw??’, àk?? c?a k??? Àj?’ gie mé nu?e pw??’ wó z?? té gÿo e pw??’ c??’ we Ssé w?? le?","Yefools and blind: for whetherisgreater, the gift, or the altar that sanctifieth the gift? # https://www.bible.com/fr/bible/1/MAT.23.KJV #19",,,,
"Pú’u, nyì? l??n ?d?g? j?’e mé nu?e pw??’ wó ?k?a nò, mbà à l?g? y?? j?’ mb?? mmó gie áa ndùm wó ?k?a.","Whoso therefore shall swear by the altar, sweareth by it, and by all things thereon. # https://www.bible.com/fr/bible/1/MAT.23.KJV #20",,,,
"Nyì? g?ie à l?g??*j?’? Ssé ?k?a nò, à l?g?*j?’? Ssé mb?? Ssé g?ie aa j?’ wó ?k?a.","And whoso shall swear by the temple, sweareth by it, and by him that dwelleth therein. # https://www.bible.com/fr/bible/1/MAT.23.KJV #21",,,,
"Nyì? l??n ?d?g? tÿ? lepwó ?k?a nò, mbà à l?g? l??e Ssé, mb?? Ssé g?ie à ?né?e m? ?k?a.","And he that shall swear by heaven, sweareth by the throne of God, and by him that sitteth thereon. # https://www.bible.com/fr/bible/1/MAT.23.KJV #22",,,,
"Pi ee pàshÿó tepò?, pi*pàkyagte lep?? M?sê lâ pi pà*farisay, pi ee megà? mepàb, pi gabte shúm nná’ sí tà mb?? nzab gi, nzsè legém, ?náa tà’ nzsè mbwó Ssé, tá’, ?gwágte nò ná menò mie mé zí’i ná mb??, é gw?? kwà’ menò mie é k?éte. Ànò pá’ leshwo?ó nò nén??, lets???n mezì?e, legù’te p?? ndà’ Ssé, tá y?? z? gw?? mmó gie á k?’?? ne ?z??te ngie pi gÿo. Pi gÿo pú’u, tá ?ké le wets?? gígyé shúm lege.","Woe unto you, scribes and Pharisees, hypocrites! for ye pay tithe of mint and anise and cummin, and have omitted the weightiermattersof the law, judgment, mercy, and faith: these ought ye to have done, and not to leave the other undone. # https://www.bible.com/fr/bible/1/MAT.23.KJV #23",,,,
"Pi pie pi ee mef?? menÿ??g, ?bi? ne ?kíbe pwó pets?? p??a, ?ny?? w??b mánzsè, pi p??g? lémi nzeenzse á ná mmó gie pi gee núu, ?bi? ?mii n???n nn??.","Yeblind guides, which strain at a gnat, and swallow a camel. # https://www.bible.com/fr/bible/1/MAT.23.KJV #24",,,,
"Pi ee pàshÿó tepò?, pi*pàkyagte lep?? M?sê lâ pi pà*farisay, pi ee megà? mepàb. Pi tsí’i mbùm ntú’ l?g ?nú melù’ mb?? ye ká?, tá shúm sie pi l?g tsó? lâ ngáte ?g?iin z?? gw?? ts??? wó.","Woe unto you, scribes and Pharisees, hypocrites! for ye make clean the outside of the cup and of the platter, but within they are full of extortion and excess. # https://www.bible.com/fr/bible/1/MAT.23.KJV #25",,,,
"Nyì?*farisay, ??? f?? menÿ??g, ?? l??n ?v?g ?tsí’i ts??? ntú’, tà é l??a, mbà nzème p? ge p???nte l??a.","Thoublind Pharisee, cleanse first thatwhich iswithin the cup and platter, that the outside of them may be clean also. # https://www.bible.com/fr/bible/1/MAT.23.KJV #26",,,,
"Pi ee pàshÿó tepò?, pi*pàkyagte lep?? M?sê lâ pi pà*farisay, pi ee megà? mepàb, pi gw?? p?? pá’ mesyè me mbw?on, mie mé l?g? mbw?on ?z??’ tà e ne f??g?. Ee nzèm p? ésí t?’, tá’ mek?? mepfó lâ mel??? shúm z?? gw?? ts??? wó.","Woe unto you, scribes and Pharisees, hypocrites! for ye are like unto whited sepulchres, which indeed appear beautiful outward, but are within full of deadmen'sbones, and of all uncleanness. # https://www.bible.com/fr/bible/1/MAT.23.KJV #27",,,,
"Á gí?e ?gw?? p?? nd?? nd?? pá’ mé líe g?i gí, ?gyá pi gw?? mvfò p??a meso?, ?gw?? p??a Ssé t?’, tá ?gw?? megà? mepàb, nkwa?á tepò? gw?? nt??m pi tá ?dúe.","Even so ye also outwardly appear righteous unto men, but within ye are full of hypocrisy and iniquity. # https://www.bible.com/fr/bible/1/MAT.23.KJV #28",,,,
"Pi ee pàshÿó tepò?, pi*pàkyagte lep?? M?sê lâ pi pà*farisay, pi ee megà? mepàb, pi ne ny?te ?bwóon mesyè á na mej?’ mie mé la tu? pà*nts?ì nk?? Ssé wó, pi ne nk?i?e mesyè p??a pie p?? la gwaa kwé nn? ?kíbe*lep?? mbò?o.","Woe unto you, scribes and Pharisees, hypocrites! because ye build the tombs of the prophets, and garnish the sepulchres of the righteous, # https://www.bible.com/fr/bible/1/MAT.23.KJV #29",,,,
"Tà á ku’ pi g??n ngie: Peg laa pé’e ?gw?? yég w?? nà f??’ ye pàmang?a nj?’ pég, mbà peg la tè z?í? ngie mé z?é pà*nts?ì nk?? Ssé w??.","and say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the prophets. # https://www.bible.com/fr/bible/1/MAT.23.KJV #30",,,,
"Pi l?g? pú’u, ?z?í?e ngie pi ee pú? p??a pie é la z?éte pà*nts?ì nk?? Ssé.","Wherefore ye be witnesses unto yourselves, that ye are the children of them which killed the prophets. # https://www.bible.com/fr/bible/1/MAT.23.KJV #31",,,,
"Pú’u la, pi l?g? fà’a pàmang?a nj?’ pí, ?g?a lê mvfò.",Fill ye up then the measure of your fathers. # https://www.bible.com/fr/bible/1/MAT.23.KJV #32,,,,
"Pi ee ng??? mennú, ?gw? pà másèm nnú, ?gw?? pí g? ?dá’ ?tsó té kúu ts??? mm??g?","Yeserpents,yegeneration of vipers, how can ye escape the damnation of hell? # https://www.bible.com/fr/bible/1/MAT.23.KJV #33",,,,
"Pi ké ?jú’, mè? n ge gÿo túm pà*nts?ì nk?? Ssé, pâ pàzsé nò, pâ*pàkyagte lep?? M?sê. Pi z?éte pets??, ?kim pets?? ná tÿ? nk?, ?cú? pets?? nê mengw??n á ts???*mendá cú’tè mí, éfó metÿ?so? metÿ?so? ?n???n w??b.","Wherefore, behold, I send unto you prophets, and wise men, and scribes: andsomeof them ye shall kill and crucify; andsomeof them shall ye scourge in your synagogues, and persecutethemfrom city to city: # https://www.bible.com/fr/bible/1/MAT.23.KJV #34",,,,
"Pú’u, metse pàte?ag metsèm mie mé l? pf?te ndùmo ssé tsetsá’ e pú s???’? ndù pi. Léfó ná metse Abe g?ie à l???n ?kú’te*lep?? Ssé, ?g?a ?kúu nà me Sakarî?, mí? Mbarashi, g?ie pi la z?é yé á na sh?a gie ee na lekye m??g pw??’ p? kwà’ ts??? j?’ gie e Ssé ee wó","that upon you may come all the righteous blood shed upon the earth, from the blood of righteous Abel unto the blood of Zacharias son of Barachias, whom ye slew between the temple and the altar. # https://www.bible.com/fr/bible/1/MAT.23.KJV #35",,,,
"Mè? shwó?ó g?í, kwà’ nén??, mé ge lá’ ts??’ ndu ndú menò ám??, é ná né p??a pie ee ts??? njÿó f?’??n.","Verily I say unto you, All these things shall come upon this generation. # https://www.bible.com/fr/bible/1/MAT.23.KJV #36",,,,
"Àf??’ ku’ Y?sô g??n ngie: Pà Yerósalem, pà Yerósalem, pi pie pii ?z?é pà*nts?ì nk?? Ssé z?é, ?d?g? metóon ?téme p??a pie Ssé túmo w??b mbwó pí ?z?éte, ée ng??a shÿ??’? pá’ mè? fa’á lécú’te g?í, pá’ mêngáb cú’te pú? pé lepàb yé, pi ké ?d?’? l?’?","O Jerusalem, Jerusalem,thouthat killest the prophets, and stonest them which are sent unto thee, how often would I have gathered thy children together, even as a hen gathereth her chickens underherwings, and ye would not! # https://www.bible.com/fr/bible/1/MAT.23.KJV #37",,,,
"Áa f??’??n pá’??n j?’ gie pi la kw?? légu’te Ssé ts??? wó, yé Ssé ge kyé a tyé s????","Behold, your house is left unto you desolate. # https://www.bible.com/fr/bible/1/MAT.23.KJV #38",,,,
"Áa y?? tá mè? n ge shwó?ó g?i ngie: Tà fó f??’??n, pi tè gí?e gyá w???n m??, tà lá’ kú ly??’ gie pi ge g??n ngie: «E Ssé gw?? né nyì? g?ie à tóo ná lezí? sé».","For I say unto you, Ye shall not see me henceforth, till ye shall say, Blessedishe that cometh in the name of the Lord. # https://www.bible.com/fr/bible/1/MAT.23.KJV #39",,,,
"Y?sô fó*j?’? Ssé ?k?? ne ?gee,*ngà?a kwò yé tóo lej??? yé, ?g??n ngie à líe ntí gie mé la kw??*j?’? Ssé tá ?gyá.","And Jesus went out, and departed from the temple: and his disciples came tohimfor to shew him the buildings of the temple. # https://www.bible.com/fr/bible/1/MAT.24.KJV #1",,,,
"Tá Y?sô g??n né p?b ngie: Pi kaa gyá j?’ y?? wa? Tà mè? n ké shwó?ó g?í, kwà’ nén??, àts?? ly??’ ge gÿo gw??, mé pú ?tág tà tóon le gí?e ?zébe nà ts?? w??.","And Jesus said unto them,See ye not all these things? verily I say unto you, There shall not be left here one stone upon another, that shall not be thrown down. # https://www.bible.com/fr/bible/1/MAT.24.KJV #2",,,,
"Y?sô g?a tà ?né?e ndùm lekw?’?? metÿ? mèv? olive,*ngà?a kwò yé fag nn?? ?tó ?z??te yé ngie: Shwó?o wég f??’ gie y??n nò ge lá’ gÿo. Shwó?o wég li?é gie mé ge lá’ l?g zsé ngie ?? ne ?tóo, mb?? gie á ge gyo mé zsé ngie ly??’ gie njÿó ge mag k?’.","And as he sat upon the mount of Olives, the disciples came unto him privately, saying, Tell us, when shall these things be? and whatshall bethe sign of thy coming, and of the end of the world? # https://www.bible.com/fr/bible/1/MAT.24.KJV #3",,,,
"Y?sô ts??’? mbwó p??b ngie: Pi laga twó gí, ?b???n nyì? léf? g?í.","And Jesus answered and said unto them,Take heed that no man deceive you. # https://www.bible.com/fr/bible/1/MAT.24.KJV #4",,,,
"Á nue p??a tà ?gy???n ge gÿo tÿ??g lezí? s???n mvfò, w??w?? ná p??b w?? g??n ngie: Aa*Nzà’nkÿo, é g??n pú’u l?g f?te p??a tà ?gy???n.","For many shall come in my name, saying, I am Christ; and shall deceive many. # https://www.bible.com/fr/bible/1/MAT.24.KJV #5",,,,
"Pi ge lá’ jú’ mé ne ?g??n nò ná mencù mie é k??? nà g?i shÿó ka ng??a sh??sh??a w??, tá’ tà pi ké ?dá’ ?cÿ?’. Á ne ?z??te ngie s?? shúm v?g ?c?ate, tá á l?en ?d?g? ?gw?? ngie njÿó m?g w??.","And ye shall hear of wars and rumours of wars: see that ye be not troubled: for allthese thingsmust come to pass, but the end is not yet. # https://www.bible.com/fr/bible/1/MAT.24.KJV #6",,,,
"«Àlá’ ge lá’ lu ssé, é lÿ??’? yets??, àfù? túm lu ssé, ?dÿ??’? wets??», tsetsá’ ge là’ pú c?’e ná mej?’ ta ?gy???n, gwá?á gí?e ngwe ná mej?’ ta ?gy???n.","For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places. # https://www.bible.com/fr/bible/1/MAT.24.KJV #7",,,,
M??n menò ge lá’ l?g? gw?? pá’ manzw? g?ie à zyete lélúme la.,All thesearethe beginning of sorrows. # https://www.bible.com/fr/bible/1/MAT.24.KJV #8,,,,
"Mé gwoon g?i ?ná mé ny?? g?i ng??’, é gÿo mé z?é g?í. Melá’ ntsèm ge lá’ pú p??a g?i mélà’ m???n","Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations for my name's sake. # https://www.bible.com/fr/bible/1/MAT.24.KJV #9",,,,
"Á ge lá’ gw?? gw?? tà p??a tà ?gy???n tsets??? pi le gí?e ?záb nt??m ná mè? w??, p?? sele s?i? menn?? m??b, ésele ?b?a menn?? m??b.","And then shall many be offended, and shall betray one another, and shall hate one another. # https://www.bible.com/fr/bible/1/MAT.24.KJV #10",,,,
"Pà*nts?ì nk?? Ssé pe cÿ?’ nò k??te tà ?gy???n, éf?te lelÿò p??a.","And many false prophets shall rise, and shall deceive many. # https://www.bible.com/fr/bible/1/MAT.24.KJV #11",,,,
"Menò tepò? k?i’i ?gy???n, tà lelÿò p??a le gí?e ?kwo?e tà ?kwo?e w??.","And because iniquity shall abound, the love of many shall wax cold. # https://www.bible.com/fr/bible/1/MAT.24.KJV #12",,,,
"Tá, nyì? g?ie à shÿ?g shÿ?g té k?a z?? gÿo ?ts???.","But he that shall endure unto the end, the same shall be saved. # https://www.bible.com/fr/bible/1/MAT.24.KJV #13",,,,
"Mé ge lá’ ts?i w??n nk?? mbò?o we nò*lefù? Ssé á nz?? nz?? ndùmo ssé tsetsá’, légw?? gie melá’ melá’ ntsèm ge jú’, njÿó leen ?ké ?mag.",And this gospel of the kingdom shall be preached in all the world for a witness unto all nations, and then shall the end come. # https://www.bible.com/fr/bible/1/MAT.24.KJV #14,,,
"Á ge lá’ gw?? f??’ó, pi gyá nyì? g?ie*nts?ì nk?? Ssé Ndani? la tó?o yé lê «nk??’? ntàgte j?’». Á tó ?tyé kwà’ ts??? j?’ gie e Ssé ee wo. Nyì? tó?o j?’? ?wà’né y??n, á kag t? leny?te ?jú’.","When ye therefore shall see the abomination of desolation, spoken of by Daniel the prophet, stand in the holy place, (whoso readeth, let him understand:) # https://www.bible.com/fr/bible/1/MAT.24.KJV #15",,,,
"Á po? ngie, mé l??n ?dá’ ?gw?? tà ?gyá yé, p??a pie ee J?idea kÿo ?d?g ye mekw?’?? ?g?a ?dyeen.",then let them which be in Judæa flee into the mountains: # https://www.bible.com/fr/bible/1/MAT.24.KJV #16,,,,
"Nyì? g?ie à ge lá’ gw?? nà tet??a gie aa nts??’ ndá, á p???n lés???’ ngie à ge píi mmó ndá tá l?g kÿo.",let him which is on the house top not come down to take any thing out of his house: # https://www.bible.com/fr/bible/1/MAT.24.KJV #17,,,,
"Nyì? g?ie à ge lá’ gw?? nká’, à p???n le g??n ngie à ge pi?e ndá pí nzs? fÿ??g ye.",neither let him which is in the field return back to take his clothes. # https://www.bible.com/fr/bible/1/MAT.24.KJV #18,,,,
"Yee ng??’ pànzw? pie é ge lá’ gw?? shwo?, mb?? pie é ge là’ ne nó?e pû? mepÿ?? nà m?? mely??’ le!","And woe unto them that are with child, and to them that give suck in those days! # https://www.bible.com/fr/bible/1/MAT.24.KJV #19",,,,
"Pi s?í?te Ssé ngie tà lekÿo ?w?? lá’ ?gw?? f??’e ty?b ty?b mb???, ka p?? ly?’?? nzsè w??.","But pray ye that your flight be not in the winter, neither on the sabbath day: # https://www.bible.com/fr/bible/1/MAT.24.KJV #20",,,,
"«Á nue ng??ng?? gie e ge lá’ kú p??a, ge lá’ gy???n t?’, tà mbà mé laa z??n ?gyá ts?? pú’u w??, tà fó pá’ Ssé la nu?e njÿó, ?g?a kú f??’??n», mé ké le la’ ngí?e ?gyá ts?? pú’u, w??.","for then shall be great tribulation, such as was not since the beginning of the world to this time, no, nor ever shall be. # https://www.bible.com/fr/bible/1/MAT.24.KJV #21",,,,
"Tá ?gw?? gie e Ssé laa pé’e, ?z??n tè gyá ngie à ge ts???te m?? mely??’ w??, mbà à gwe ts?? nyì? lá’ le ts???. Tá à la l?g? nò p??a pie à la ts??’, tá ?ts???te mely?’?? lá’ am??.","And except those days should be shortened, there should no flesh be saved: but for the elect's sake those days shall be shortened. # https://www.bible.com/fr/bible/1/MAT.24.KJV #22",,,,
"Pú’u la, nyì? ké ?dá’ ?g??n né pi ngie: À*Nzà’nkÿo w??n j?’??n, ka p?? ngie à g?i j?’e w?? tà pi z?í?,","Then if any man shall say unto you, Lo, hereisChrist, or there; believeitnot. # https://www.bible.com/fr/bible/1/MAT.24.KJV #23",,,,
"mélà’mie pà nzà’ nkÿo pe cÿ?? nò, lâ pà*nts?ì nk?? Ssé pe cÿ?? nò ge lá’ k??, é ny? memáa meli?é, é gÿo menò mm??n mm??n lél?g f?te p??a tà ?gy???n, tà ?gwáa we p?? gwe’e ?ku’, mbà à l??n ?gw?? p?? f?te mb?? p??a pie Ssé la ts??’.","For there shall arise false Christs, and false prophets, and shall shew great signs and wonders; insomuch that, ifit werepossible, they shall deceive the very elect. # https://www.bible.com/fr/bible/1/MAT.24.KJV #24",,,,
"Á y??n, mbà mè? n k? ?t?? njÿó shwó?ó g?í.","Behold, I have told you before. # https://www.bible.com/fr/bible/1/MAT.24.KJV #25",,,,
"Pú’u la, mé l??n ?g??n né pi ngie: Pi gyá,*Nzà’nkÿo g?i nkwò?o ts??, tà pi g?a wó, ?g??n né pi ngie: Pi gyá, à w??n ?dyeen j?’??n, tà pi z?í?.","Wherefore if they shall say unto you, Behold, he is in the desert; go not forth: behold,he isin the secret chambers; believeitnot. # https://www.bible.com/fr/bible/1/MAT.24.KJV #26",,,,
"Pi zsé ngie á l??n ?gw?? gie nn? mb??? gÿo lê ?wa?, éfó s?’ nèm, ?g?a ?kú mby? nèm mé pú ?gyá lêk?? w??, mbà*Mí? Nyì? ge lá’ tó p?? pú’u.","For as the lightning cometh out of the east, and shineth even unto the west; so shall also the coming of the Son of man be. # https://www.bible.com/fr/bible/1/MAT.24.KJV #27",,,,
"«Àpfó mmó ge gÿo gw?? nz?? w??, megúm cú’te j?’ó».","For wheresoever the carcase is, there will the eagles be gathered together. # https://www.bible.com/fr/bible/1/MAT.24.KJV #28",,,,
"M?? mely??’? ng??ng?? ge lá’ gwóon t??g, «nèm sele sí?, sa? á le gí?e ?t??a w??, mecÿ??’ sa? fó tÿ? lefa? ?gwete ssé, àk???k?? gie áa lefa? w?? à pú ?tága».","Immediately after the tribulation of those days shall the sun be darkened, and the moon shall not give her light, and the stars shall fall from heaven, and the powers of the heavens shall be shaken: # https://www.bible.com/fr/bible/1/MAT.24.KJV #29",,,,
"Àli?é*Mí? Nyì? leen ?ké ?k??? lefa?. «Mengwò?o mengwò? mie ée ndùmo ssé tsetsá’ k??’ legwé ?d?a, mé leen ?ké ?gyá*Mí? Nyì? gw?? ts??? mel???n tÿ? lefa? ne ?tóo, ?g?iin sh??shÿ??g mb?? máamáa met??»,","and then shall appear the sign of the Son of man in heaven: and then shall all the tribes of the earth mourn, and they shall see the Son of man coming in the clouds of heaven with power and great glory. # https://www.bible.com/fr/bible/1/MAT.24.KJV #30",,,,
"é túm mecÿ??’ pé, p?? tó?o máamáa nta?, ?d?g ?cú’te p??a pé pie à la ts??’? ts??? njÿó mes?g lekù?, p?? fó meshÿó meshÿó ?tó.","And he shall send his angels with a great sound of a trumpet, and they shall gather together his elect from the four winds, from one end of heaven to the other. # https://www.bible.com/fr/bible/1/MAT.24.KJV #31",,,,
"Pi pí f??’ ná tÿ? mbÿ? ngem, pi gw?? tà ?gyá meffo kwo tà á gí?e ?zye létáb, pi zsé ngie, àf??’e lùm ne ?tóo.","Now learn a parable of the fig tree; When his branch is yet tender, and putteth forth leaves, ye know that summerisnigh: # https://www.bible.com/fr/bible/1/MAT.24.KJV #32",,,,
"Nd?? nd?? pú’u, pi la’ ?gw?? tà ?gyá m??n menò, pi zsé ngie:*Mí? Nyì? t? tà ?gw?? ncwò ndá.","so likewise ye, when ye shall see all these things, know that it is near,evenat the doors. # https://www.bible.com/fr/bible/1/MAT.24.KJV #33",,,,
"Mè? shwó?ó g?í, kwà’ nén??, p??a pie ee ts??? njÿó f?’??n té ?ge lá’ kwéte tà mag té gw?? gie m??n menò ntsèm é t? w??.","Verily I say unto you, This generation shall not pass, till all these things be fulfilled. # https://www.bible.com/fr/bible/1/MAT.24.KJV #34",,,,
Lefa? p?? tsetsá’ ge gÿo mag tá shwó?ó y???n lá’ le pyé.,"Heaven and earth shall pass away, but my words shall not pass away. # https://www.bible.com/fr/bible/1/MAT.24.KJV #35",,,,
"Tá’, á ké ?g?a ná ly??’ ay??, p?? f??’ gie m??n menò ge gÿo c?a, mbà s??n nyì? tè zsé tà mb??*mecÿ??’ Ssé pie ée tÿ? lepwó, tà mb?? Mí? Ssé, ?da’ Tá gíle yé z? zsé.","But of that day and hour knoweth noman, no, not the angels of heaven, but my Father only. # https://www.bible.com/fr/bible/1/MAT.24.KJV #36",,,,
"*Mí? Nyì? ge lá’ gwaa tó, menò mie é la gÿo f??’e Nóa gí?e ?gÿo.","But as the days of Noewere, so shall also the coming of the Son of man be. # https://www.bible.com/fr/bible/1/MAT.24.KJV #37",,,,
"Ntse la gwaa kw??’ jÿó j?’, ep??a meso? ne ?pf??? shúm, ?n? ?núu melù’, ?n? ?d???n ndá, ?náa pú? p??b l???n ndá, tà ?kú ly??’ gie Nóa lá kúu ts??? pá?,","For as in the days that were before the flood they were eating and drinking, marrying and giving in marriage, until the day that Noe entered into the ark, # https://www.bible.com/fr/bible/1/MAT.24.KJV #38",,,,
"àlá’ z??n tè ne ?gû’u ts?? nò w??, tà ntse gÿo ?kw??’, ?bú ?byága w??b metsèm.*Mí? Nyì? ge là’ gwaa tó à gí?e ?gw?? p?? pú’u.","and knew not until the flood came, and took them all away; so shall also the coming of the Son of man be. # https://www.bible.com/fr/bible/1/MAT.24.KJV #39",,,,
"Mbà?a yép??a ge lá’ gw?? nká’, mé l?g? tà’ ?g?a, ?nyé wets??.","Then shall two be in the field; the one shall be taken, and the other left. # https://www.bible.com/fr/bible/1/MAT.24.KJV #40",,,,
"Pànzw? mép??a ne ?gw?’? mmó lù?o, mé l?g? tà’ ?g?a, ?nyé wets??.","Twowomen shall begrinding at the mill; the one shall be taken, and the other left. # https://www.bible.com/fr/bible/1/MAT.24.KJV #41",,,,
"Áa y?? tá pi p???n légwá’a lÿ??g, á nue pi tè ne ?zsé ly??’ gie C??ap??a g?i ge tó w??.",Watch therefore: for ye know not what hour your Lord doth come. # https://www.bible.com/fr/bible/1/MAT.24.KJV #42,,,,
"Pi gí?e ?zsé mbò?o ngie, nyì? laa pé’e ?gw?? gie à ?gw?? á ?né?e mb??a yé, ?zsé f??’ gie nts?? ge tó, mbà à l??n ?gw?? á lá’ té lyé, ?by??b tà nts?? le kúu mb??a yé w??.","But know this, that if the goodman of the house had known in what watch the thief would come, he would have watched, and would not have suffered his house to be broken up. # https://www.bible.com/fr/bible/1/MAT.24.KJV #43",,,,
"Pú’u, mbaa pi gí, pi cwo?te mbùm gi ?by??b, mélà’mie*Mí? Nyì? ge gÿo vege vege tó.",Therefore be ye also ready: for in such an hour as ye think not the Son of man cometh. # https://www.bible.com/fr/bible/1/MAT.24.KJV #44,,,,
"Ngà?a fà’ g?ie à j?’, ?bi? ?g?iin legye à gwá’a la? Aa g?ie tá fà’ we la c??me p??a pé mbwó yé, pá’ à ge c??’ ná shúm léjÿó mbwó p??b á nà f??’ gie á ne ?z??te.","Who then is a faithful and wise servant, whom his lord hath made ruler over his household, to give them meat in due season? # https://www.bible.com/fr/bible/1/MAT.24.KJV #45",,,,
"Àa shÿó mbò?o pá’ tá fà’ we l??n ?gwaa pi? nzèm, ?gyá á ne fa’a y?? fà’.","Blessedisthat servant, whom his lord when he cometh shall find so doing. # https://www.bible.com/fr/bible/1/MAT.24.KJV #46",,,,
"Mè? shwó?ó g?í, kwà’ nén??, tá fà’ we ge c??me shúm sé ntsèm ntsèm mbwó yé.","Verily I say unto you, That he shall make him ruler over all his goods. # https://www.bible.com/fr/bible/1/MAT.24.KJV #47",,,,
"Tá’ ?ké ?gw?? gie à l??n ?gw?? ngà?a fà’ we tepò?, ?g??n ló? yé ngie: Tá fà’ w???n tè lwo tó w??,","But and if that evil servant shall say in his heart, My lord delayeth his coming; # https://www.bible.com/fr/bible/1/MAT.24.KJV #48",,,,
"?zye lécú? p??a pie pâ p?? fa’a, pâ mep??a melù’ cú’te ?pf?? shúm, ?bi? ?nú melù’.","and shall begin to smitehisfellowservants, and to eat and drink with the drunken; # https://www.bible.com/fr/bible/1/MAT.24.KJV #49",,,,
"Mbà tá fà’ we ge vege vege tó, á nà f??’ gie à tè ne ?zsé w??,","the lord of that servant shall come in a day when he looketh not forhim, and in an hour that he is not aware of, # https://www.bible.com/fr/bible/1/MAT.24.KJV #50",,,,
"é tó, é né? ng??ng?? twó yé t?’, é jwo?o yé, à g?a né j?’ gie mé jwo?o p??a tepò? ?náa wó, é ?né?e j?’ó ne l?a, ló? we ne ffó.","and shall cut him asunder, and appointhimhis portion with the hypocrites: there shall be weeping and gnashing of teeth. # https://www.bible.com/fr/bible/1/MAT.24.KJV #51",,,,
"Y?sô gí?e ?g??n ngie: Pú’u la, nò*lefù? Ssé ge lá’ s?é nò pû? ngù? legém pie p?? la kaa melâm p??b, ?g?a ?zá’ mámbà?a g?ie à gee ?z??’?.","Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet the bridegroom. # https://www.bible.com/fr/bible/1/MAT.25.KJV #1",,,,
"Epe mét??a gw?? tsets??? p??b p?? té legye g?iin, epe met??a g?iin legye.","And five of them were wise, and fivewerefoolish. # https://www.bible.com/fr/bible/1/MAT.25.KJV #2",,,,
"Pie é la tè legye g?iin la gwaa kaa melâm m??b, p?? té g?iin ts?? mèv? ts??? ts?? mmó ndy??’? w??.","They thatwerefoolish took their lamps, and took no oil with them: # https://www.bible.com/fr/bible/1/MAT.25.KJV #3",,,,
"Epie é la g?iin legye la gwaa kaa melâm p??b, ?gí?e ?né? ts?? mèv? ts??? ts?? mmó ndy??’? ?g?iin.",but the wise took oil in their vessels with their lamps. # https://www.bible.com/fr/bible/1/MAT.25.KJV #4,,,,
"Nyì? g?ie à gee ?z??’?, à tè t??g ?tó w??, p?? ?né?e tà lel??g gwoon w??b p?? lyéte.","While the bridegroom tarried, they all slumbered and slept. # https://www.bible.com/fr/bible/1/MAT.25.KJV #5",,,,
"Ts??? ts???’ ku’, mé jú’ nyì? l?g ngyè tet?? ngie: Nyì? g?ie à ge ?z??’? w??n g?ie à tóo l??n, pi k?? ?g?a ?zá’a yé.","And at midnight there was a cry made, Behold, the bridegroom cometh; go ye out to meet him. # https://www.bible.com/fr/bible/1/MAT.25.KJV #6",,,,
"Epû? ngù? pà metsèm leen ?zyeen, w??w?? kwé’e nkÿo lâm wé.","Then all those virgins arose, and trimmed their lamps. # https://www.bible.com/fr/bible/1/MAT.25.KJV #7",,,,
"Epie é té legye g?iin la, g??n mbwó pie é g?iin legye ngie: Epég melâm ne ?byé, pi náa wég mej?’ ná mèv? mí.","And the foolish said unto the wise, Give us of your oil; for our lamps are gone out. # https://www.bible.com/fr/bible/1/MAT.25.KJV #8",,,,
"Epie é g?iin legye ts??’ ngie: Peg tè ná w??, peg l??n ?ná, mbà még ge zág. Pi g?a p?? ndá s???n ?jú mí.","But the wise answered, saying,Not so; lest there be not enough for us and you: but go ye rather to them that sell, and buy for yourselves. # https://www.bible.com/fr/bible/1/MAT.25.KJV #9",,,,
"P?? g?a ?júu, nyì? g?ie à z??’? c??’ ?tó, pâ pû? ngù? pie ts?? mmó la tè ne ?zága w??b gw?? kúu ndá lín???n l???n ndá, mé jÿ??’ ncwò ndá.","And while they went to buy, the bridegroom came; and they that were ready went in with him to the marriage: and the door was shut. # https://www.bible.com/fr/bible/1/MAT.25.KJV #10",,,,
"Mé ?né?e tà ?jú’ pá’ pets?? pû? ngù? pie p?? n? ?g?a ?jú mèv? la pú’te ncwò ndá, ?n? ?g??n ngie: À Ndè, à Ndè, mé ts??’ ncwò ndá ?ná né peg.","Afterward came also the other virgins, saying, Lord, Lord, open to us. # https://www.bible.com/fr/bible/1/MAT.25.KJV #11",,,,
"Tá á g??n né p??b ngie: Tá mè? shwó?ó g?í, kwà’ nén??, mè? n t? ne ?zsé g?i w??.","But he answered and said, Verily I say unto you, I know you not. # https://www.bible.com/fr/bible/1/MAT.25.KJV #12",,,,
